Restaurant Name,City,Category,Service,In/Outdoor,Working Hours,Rating,Capacity,Busyness,Waiting Time,Price Range,Delivery Time,Hidden Gem,GPS Location,Family/Date/Friends,Best Dish,Hotline
Broccar,First Settlement -Al Rehab,Syrian Food,Dine in/Takeaway/Delivery,Indoor,9AM - 2AM,4.4,Medium,High,30,$,60,No,-,Friends-Family,-,15540
Hwawshy Al Refaay,Fifth Settlement - Maadi - Nasr City,Hwawshy,Takeaway/Delivery,NA,11AM - 1AM,4.2,NA,Low,20,$,40,No,-,Friends-Family,Hwawshy Mix Cheese,15017
Willy's Kitchen,Fifth Settlement - First Settlement - Nasr City - Masr Al Gedida - Maadi,Burger-Sandwiches,Dine in/Takeaway/Delivery,Indoor-Outdoor,11AM - 2AM,4.3,Medium,Medium,40,$,NA,No,-,Friends-Family,Buffalo Nacho Chicken,19256
Ezz Elmnofy,Dokki - Mohandessin - Masr Al Gedida - Maadi - Fifth settlement - Al Rehab - Mokattam - Downtown Cairo - Abaseya,Kebda - Sogoa,Dine in/Takeaway/Delivery,Indoor-Outdoor,10AM -2AM,4.1,Very Low,High,20,$,50,No,-,Friends-Family,Sogoa Mafrom,16976
El Sultan Pizza,Fifth Settlement - Nasr City -Downtown Cairo,Pizza-Feteer,Dine in/Takeaway/Delivery,Indoor-Outdoor,12AM - 2AM,4.1,Very Low,Medium,30,$,NA,No,-,Friends-Family,-,02 22748080
Kazoku,First Settlement,Japanese - Sushi - Asian,Dine in/Takeaway,Indoor,2PM - 1AM,4.6,Medium,Medium,50,$$$,-,No,-,Family-Date-Friends,-,1270004877
Lexie's,First Settlement,Italian Food,Dine in/Takeaway/Delivery,Indoor-Outdoor,2PM - 1AM,4.6,High,Medium,50,$$$,NA,No,-,Family-Date-Friends,-,1285818590
Garcia ,Masr Al Gedida,Good dining experience ,Dine in,Indoor-Outdoor,10AM - 12PM,4,Medium,Medium,30,$,-,Yes,-,Friends-Date,-,1550057533
Baraka,Alexandria,Fried Chicken,Dine in/Takeaway/Delivery,Indoor-Outdoor,10AM - 2AM,4.1,Medium,High,30,$,50,No,-,Family-Friends,Nos Far5a fried ,16099
Peking ,Masr Al Gedida,Chinese food,Dine in,Indoor,10AM - 11PM,4.4,Medium,Medium,15,$$,-,Yes,-,Family-Friends-Date,Szechwan Chicken ,16078
Moodz,Portsaid,Fastfood - Burgers,Dine in/Takeaway/Delivery,Indoor-Outdoor,10AM - 1AM,4.6,Medium,High,10,$$,25,No,-,Family-Friends,Mamma Mia,1277766690
Al Ganany,Nasr City,syrian food,Takeaway/Delivery,Indoor,10AM - 2AM,4.1,Low,Low,15,$,30,Yes,-,Family-Friends,Grilled Chicken on Coal,1100366898
Mashwyat Al Sultan,Nasr City,Meat Sandwiches-Kofta-Kebda-Sogoa,Dine in/Takeaway/Delivery,Outdoor,10AM - 2AM,3.2,Low,Medium,10,$,25,Yes,-,Friends,Kofta Sandwiches ,1008657086
Black bear burger ,Zamalek ,Burger,Dine in/Takeaway,Indoor-Outdoor,1PM - 12AM,4,Medium,Low,40,$$,-,Yes,-,Family-Friends,Cheese Burger ,0101 9377545
Gringo's Burrito Grill,Maadi - Fifth Settlement - Sheikh Zayed,Mexican,Dine in/Takeaway/Delivery,Indoor,12PM - 10PM,4,Low,Low,60,$,45,No,https://goo.gl/maps/rTrFvGjSFd4EcHnM6,Friends,Classic Grilled Chicken Burrito,0127 524 9270
Pastaweesy,Nasr City - Mohandessin - Fifth Settlement - Downtown Cairo - Heliopolis - Masr Al Gedida - Maadi - 6th October,Burger - Fast Food - Italian,Dine in/Takeaway/Delivery,Indoor-Outdoor,10AM - 1:30 AM,4,Medium,Low,40,$,NA,No,-,Friends,Fantastic Four,02 33384377
Sachi,Heliopolis - Masr Al Gedida - Sheikh Zayed,International - Sushi,Dine in/Takeaway/Delivery,Indoor-Outdoor,2PM - 12AM,4.6,High,Medium,55,$$$,NA,Yes,-,Date-Friends,Shrimp Quinoa,0128 090 2028
Pier 88,Zamalek - 6th October,International - Italian - Seafood,Dine in,Indoor-Outdoor,3PM - 12AM,4.3,High,High,50,$$$,NA,Yes,-,Date,Fritto Misto Di Pesce,1208111130
Izakaya,6th October - Sheikh Zayed,American - Japanese,Dine in,Indoor-Outdoor,2PM - 3AM,4.4,Medium,Medium,55,$$$,NA,Yes,-,Date-Friends,Salmon Teriyaki,01271116223 - 0238513251
Alaa,El Nozha - Masr Al Gedida,Oriental - Sandwiches,Dine in/Takeaway/Delivery,Indoor-Outdoor,Open 24 Hours,4.2,Very Low,Medium,25,$,NA,Yes,-,Friends-Family,Zinger Sandwich,1122415194
Raafat,Fifth Settlement - Masr Al Gedida,Grilled - Sandwiches,Takeaway/Delivery,NA,10AM - 3AM,4,NA,Medium,25,$,NA,Yes,-,Friends-Family,Crispy Sandwich,01114344468 - 01062131621 - 01114300068
3am Bashandy,Fifth Settlement - Nasr City,Oriental,Takeaway/Delivery,NA,Open 24 Hours,4.5,NA,Medium,10,$,40,No,-,Friends-Family,Fool,1227777900
